,course_name,course_category,course_subcategory,students_enrolled,course_difficulty,course_rating,course_rating_count
0,"Grow Your Business with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"48,269",Approx. 4 hours to complete,4.8,
1,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"12,487",Approx. 4 hours to complete,4.6,
2,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"27,110",Approx. 4 hours to complete,4.6,259 ratings
3,"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"20,094",Approx. 3 hours to complete,4.7,175 ratings
4,"Fundamentals of Customers and Competition, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"8,774",Approx. 4 hours to complete,4.8,98 ratings
5,"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"12,694",Approx. 3 hours to complete,4.6,111 ratings
6,"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"27,119",Approx. 4 hours to complete,4.5,230 ratings
7,"Fundamentals of Operations, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"7,702",Approx. 3 hours to complete,4.6,95 ratings
8,"Fundamentals of Management, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"12,269",Approx. 4 hours to complete,4.7,159 ratings
9,"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,"6,844",Approx. 3 hours to complete,4.6,89 ratings
10,"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",Business,Business Essentials,"9,219",Approx. 14 hours to complete,4.4,139 ratings
11,3-Axis Machining with Autodesk Fusion 360,Physical Science and Engineering,Mechanical Engineering,"27,522",Advanced Level,4.9,132 ratings
12,VR and 360 Video Production,Arts and Humanities,Music and Art,"28,003",Beginner Level,4.7,617 ratings
13,3D Art and Audio Pipeline,Computer Science,Software Development,"5,324",Intermediate Level,4.3,34 ratings
14,3D CAD Application,Physical Science and Engineering,Mechanical Engineering,"25,770",Intermediate Level,4.9,85 ratings
15,3D CAD Fundamental,Physical Science and Engineering,Mechanical Engineering,"70,634",Beginner Level,4.7,280 ratings
16,Current Gen 3D Game Prop Production,Arts and Humanities,Music and Art,"10,628",Approx. 15 hours to complete,4.8,13 ratings
17,3D Graphics in Android: Sensors and VR,Computer Science,Mobile and Web Development,"12,186",Approx. 27 hours to complete,,5 ratings
18,3D Interaction Design in Virtual Reality,Computer Science,Design and Product,"23,244",Intermediate Level,4.6,
19,3D Interactions and Navigation,Computer Science,Software Development,"5,227",Intermediate Level,4.5,44 ratings
20,3D Model Creation with Autodesk Fusion 360,Physical Science and Engineering,Mechanical Engineering,"112,043",Advanced Level,4.8,567 ratings
21,Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,Computer Science,Design and Product,"27,138",Approx. 26 hours to complete,,5 ratings
22,3D Models for Virtual Reality,Computer Science,Design and Product,"80,356",Intermediate Level,4.6,284 ratings
23,3D Printing Hardware,Business,Entrepreneurship,"27,332",Approx. 31 hours to complete,4.1,60 ratings
24,3D Printing Applications,Business,Entrepreneurship,"28,798",Beginner Level,4.6,
25,3D Printing Capstone,Business,Entrepreneurship,"7,482",Approx. 6 hours to complete,4.5,
26,The 3D Printing Revolution,Business,Entrepreneurship,"76,804",Beginner Level,4.7,
27,3D Printing Software,Business,Entrepreneurship,"73,755",Beginner Level,4.6,
28,Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Social Sciences,Governance and Society,"13,535",Beginner Level,4.6,
